%This dataset was formatted by R. Olszewski as part of his thesis
%“Generalized feature extraction for structural	pattern recognition
%in time-series data,” at Carnegie Mellon University, 2001. Each
%series traces the electrical activity recorded during one
%heartbeat. The two classes are a normal heartbeat and a Myocardial
%Infarction. 	
@Relation ECG200
@attribute att1 numeric
@attribute att2 numeric
@attribute att3 numeric
@attribute att4 numeric
@attribute att5 numeric
@attribute att6 numeric
@attribute att7 numeric
@attribute att8 numeric
@attribute att9 numeric
@attribute att10 numeric
@attribute att11 numeric
@attribute att12 numeric
@attribute att13 numeric
@attribute att14 numeric
@attribute att15 numeric
@attribute att16 numeric
@attribute att17 numeric
@attribute att18 numeric
@attribute att19 numeric
@attribute att20 numeric
@attribute att21 numeric
@attribute att22 numeric
@attribute att23 numeric
@attribute att24 numeric
@attribute att25 numeric
@attribute att26 numeric
@attribute att27 numeric
@attribute att28 numeric
@attribute att29 numeric
@attribute att30 numeric
@attribute att31 numeric
@attribute att32 numeric
@attribute att33 numeric
@attribute att34 numeric
@attribute att35 numeric
@attribute att36 numeric
@attribute att37 numeric
@attribute att38 numeric
@attribute att39 numeric
@attribute att40 numeric
@attribute att41 numeric
@attribute att42 numeric
@attribute att43 numeric
@attribute att44 numeric
@attribute att45 numeric
@attribute att46 numeric
@attribute att47 numeric
@attribute att48 numeric
@attribute att49 numeric
@attribute att50 numeric
@attribute att51 numeric
@attribute att52 numeric
@attribute att53 numeric
@attribute att54 numeric
@attribute att55 numeric
@attribute att56 numeric
@attribute att57 numeric
@attribute att58 numeric
@attribute att59 numeric
@attribute att60 numeric
@attribute att61 numeric
@attribute att62 numeric
@attribute att63 numeric
@attribute att64 numeric
@attribute att65 numeric
@attribute att66 numeric
@attribute att67 numeric
@attribute att68 numeric
@attribute att69 numeric
@attribute att70 numeric
@attribute att71 numeric
@attribute att72 numeric
@attribute att73 numeric
@attribute att74 numeric
@attribute att75 numeric
@attribute att76 numeric
@attribute att77 numeric
@attribute att78 numeric
@attribute att79 numeric
@attribute att80 numeric
@attribute att81 numeric
@attribute att82 numeric
@attribute att83 numeric
@attribute att84 numeric
@attribute att85 numeric
@attribute att86 numeric
@attribute att87 numeric
@attribute att88 numeric
@attribute att89 numeric
@attribute att90 numeric
@attribute att91 numeric
@attribute att92 numeric
@attribute att93 numeric
@attribute att94 numeric
@attribute att95 numeric
@attribute att96 numeric
@attribute  target {-1,1}

@data
0.50205548,0.54216265,0.72238348,1.4288852,2.1365158,2.281149,1.9362737,1.46889,1.0088451,0.38028224,-0.29677967,-0.51392868,-0.25564469,-0.10720254,-0.28782655,-0.41800901,-0.31916313,-0.2603787,-0.35035721,-0.50548599,-0.71088709,-0.82391982,-0.89970154,-1.1539497,-1.2298306,-1.044091,-1.2020312,-1.3921949,-1.1301083,-1.1798666,-1.6492718,-1.7265754,-1.6083704,-1.6628022,-1.6506724,-1.6973094,-1.8386968,-1.8025962,-1.7805361,-1.8251665,-1.6447633,-1.4238097,-1.3921949,-1.3604156,-1.2001781,-0.91863234,-0.68591581,-0.66794346,-0.51272154,-0.10169069,0.063954259,0.082614311,0.23760718,0.17479318,0.12320539,0.5033942,0.6838702,0.47499476,0.53279711,0.72354995,0.6644198,0.64793559,0.75705403,0.7320716,0.62021499,0.60629677,0.67795016,0.68908363,0.59880728,0.54264656,0.58180737,0.63063068,0.6644198,0.6863178,0.65738251,0.65088944,0.72173837,0.73970645,0.69148052,0.69522947,0.7501145,0.85384485,0.91601888,0.82774969,0.88090557,1.0888307,0.93104294,0.61029836,0.63889427,0.68467857,0.58323764,0.64052167,0.70858515,0.70501088,0.71381545,0.43376464,-1
0.1476469,0.8046684,0.36777149,0.24389371,0.026613882,-0.27440211,0.096730583,-0.74773064,-1.6097771,-1.1795931,-1.0559264,-1.1287774,-0.68603867,-0.79878866,-1.7142791,-1.6498584,-1.0326988,-1.4239179,-1.7824333,-1.0251257,-1.7989086,-1.7936136,-1.0854783,-1.5743899,-1.0360595,-2.130021,-2.0386213,-0.05501273,-1.1401949,-0.70427521,0.048723084,-0.47585411,0.52586518,0.24477767,0.67993176,0.9286012,0.57304095,1.2316066,1.0433243,1.5802281,1.2905714,0.75051788,0.97756667,1.1415881,1.5299044,0.84768163,0.7667604,0.56568218,1.0846257,1.0573685,0.50308411,0.95328821,0.45419824,1.1989698,0.84971989,-0.13771474,0.63112045,0.69407501,0.51507095,0.5592294,0.555712,0.46969403,0.38882121,0.34312937,0.53559788,0.90070837,0.65684587,0.69003294,0.9525963,0.54776991,-0.16769268,0.011531941,-0.17648785,-0.27770647,-0.22483592,-0.91072293,-0.037931787,0.071667671,-1.0489198,-0.63621758,-0.38663674,-0.50751228,-0.7166559,-0.46375771,-0.46044227,-0.77079245,-0.53350348,-0.4002281,0.17608413,1.111768,2.4384282,2.7348886,1.7360544,0.036856551,-1.2650744,-0.20802439,1
0.31664616,0.24319908,0.37047144,1.0637381,1.6781871,1.7595575,1.6977172,1.612159,1.1681877,0.49995704,-0.022362533,-0.23531816,-0.11827251,-0.071027356,-0.32298644,-0.43356208,-0.31865971,-0.29565486,-0.41773284,-0.68247969,-0.88183977,-0.84332048,-0.88365177,-1.0300185,-1.0552655,-1.1686368,-1.3639905,-1.3376111,-1.2612936,-1.4097822,-1.6345041,-1.7032377,-1.6770249,-1.7826278,-1.9968716,-2.0563716,-1.9378809,-1.8794116,-1.9154266,-1.8455069,-1.658135,-1.5094832,-1.3934261,-1.2328683,-1.0243483,-0.76864001,-0.51129373,-0.30956399,-0.13196163,0.035054082,0.14215881,0.22580665,0.34369036,0.42858907,0.4695677,0.56978192,0.67566632,0.69988535,0.73256075,0.7716652,0.73812943,0.7236995,0.80687593,0.87898449,0.85579127,0.80638433,0.79250094,0.80381413,0.78193839,0.70043908,0.73595994,0.86416166,0.70766984,0.45875614,0.60014556,0.82513646,0.80003425,0.76282112,0.75544283,0.65376588,0.52644092,0.47733909,0.57494596,0.69842456,0.72241431,0.77159793,0.76422904,0.61062146,0.55290034,0.56678608,0.60400236,0.77706781,0.81234542,0.74884814,0.81804204,0.53934704,-1
1.1688741,2.0759008,1.7601405,1.6064459,1.9490456,1.3028421,0.45933154,0.51641212,0.85217953,0.98922717,0.82125349,0.57644764,0.74308944,0.8529702,0.30745835,-0.13039065,-0.062199969,-0.10072696,-0.23281819,-0.23446477,-0.21475573,-0.23041257,-0.22755149,-0.23100238,-0.46347873,-0.72421462,-0.78788488,-0.98668657,-1.224672,-1.2881418,-1.3641481,-1.4282213,-1.5017669,-1.6480837,-1.7058362,-1.6867905,-1.7057193,-1.7776833,-1.8693132,-1.8583761,-1.7377167,-1.7291486,-1.7281054,-1.5460373,-1.4591025,-1.4107518,-1.1634273,-0.90741874,-0.71621062,-0.58176337,-0.44252605,-0.20704617,-0.026462658,0.11703627,0.22063662,0.26431516,0.40505498,0.46497434,0.43416264,0.4868072,0.43938773,0.36961087,0.41314866,0.3978947,0.31876371,0.26371736,0.28886308,0.35824403,0.32673714,0.22921539,0.20441776,0.24438588,0.26263199,0.24388475,0.22750228,0.24578495,0.23295916,0.16461077,0.17153767,0.16669037,0.099141394,0.14693663,0.13341444,0.12529443,0.20271343,0.18640913,0.41900645,0.72388755,1.3239469,2.1364876,1.7465965,1.4702205,1.8935123,1.2569493,0.80040658,0.73153981,-1
0.64865752,0.75202595,2.6362312,3.4557156,2.1181574,0.52062024,-0.18862656,0.78081841,0.93377469,0.70140202,1.006133,0.39578379,-0.36970304,-0.73820206,-0.72908415,-0.90693968,-0.87096235,-1.060217,-1.1979584,-0.98160194,-1.2724972,-1.2873802,-1.2766979,-1.5397017,-1.3466101,-1.5352169,-1.7634184,-1.6888209,-1.8093685,-1.8638914,-1.9944534,-1.8898102,-1.9257132,-1.8336293,-1.6618298,-1.3425104,-1.0113174,-0.67271665,-0.21615671,0.052871572,0.56208966,0.70087985,0.94692677,1.0049973,1.0275423,1.1916636,0.96885533,0.84461754,0.77949209,0.743938,0.67335291,0.50527636,0.66254685,0.60770289,0.54610457,0.68716257,0.54300417,0.45314766,0.48578457,0.44067902,0.53915332,0.36957146,0.37731573,0.47011338,0.32144799,0.32551344,0.25125875,0.2705711,0.27716131,0.15517117,0.12095431,0.32639509,0.47395183,0.59473611,0.69819946,0.82678088,0.57516625,0.40119607,0.34996612,0.14805279,-0.033206288,-0.11426641,0.12034538,-0.22010169,-0.15122608,-0.077444659,-0.097868776,-0.13678697,-0.34023669,-0.089441428,-0.080297278,-0.19258444,-0.30470444,-0.45455625,0.31459,0.5821895,1
0.40473265,1.2808587,2.5151479,1.2995187,1.4534323,0.47427508,-1.3965619,-0.64708079,0.4319451,0.13244512,-0.40660902,0.23056633,-0.12135267,-0.9186398,-1.2467709,-1.3483736,-1.1902833,-1.0112698,-2.0039201,-1.3270367,-0.97603428,-1.8636169,-1.4876914,-1.6161399,-1.9575634,-1.7006637,-1.5184788,-1.8975843,-2.1771748,-1.8727894,-1.7752905,-1.6681586,-1.9333433,-1.4896118,-1.1507331,-1.0781561,-0.77372316,-0.5202207,-0.20525277,-0.026608191,0.29905385,0.19431966,0.70179318,0.67189094,0.85378659,0.67685205,0.89891601,0.77225822,0.6498631,0.63881629,0.67025023,1.0374359,0.43305326,0.65715862,0.52901327,0.56207051,1.0283513,-0.019686467,1.1777618,0.84790423,0.16943202,0.67343368,0.6352647,0.74822003,0.64016663,0.59131589,0.43168075,0.71749974,0.59541636,0.45848779,0.48356648,0.65571268,0.49079447,1.0668703,0.92914878,0.93902615,1.3121779,0.58060433,0.57095928,0.52277452,0.44632254,0.6206822,0.049713371,0.2698563,0.41891845,-0.064345669,0.37646912,0.27781111,0.22567582,0.15909081,0.40835397,0.54001519,-0.027791159,0.20347623,0.34696389,0.33918469,1
1.2050062,2.0318554,2.4472937,2.7394479,2.7458899,2.2763553,1.5253659,0.76059655,0.18844767,-0.029051462,-0.049523678,-0.20996418,-0.37415034,-0.24863758,-0.095016682,-0.099479162,-0.12141585,-0.35854858,-0.73913476,-0.78765165,-0.70894109,-0.75975595,-0.74105769,-0.88170685,-1.018906,-0.58138267,-0.35899328,-0.92421814,-1.0948085,-0.66136445,-0.78512404,-1.2881566,-1.3345034,-1.267791,-1.5021425,-1.6399716,-1.5339625,-1.566857,-1.7309945,-1.7196664,-1.6684945,-1.7355071,-1.6472869,-1.3875588,-1.3096055,-1.3196536,-1.1003919,-0.90045831,-0.93434224,-0.76519269,-0.31750385,-0.12712004,-0.12393914,0.094417909,0.28842606,0.26134707,0.28973234,0.40727778,0.43663741,0.44930812,0.57086672,0.71117799,0.67270791,0.50102225,0.50474276,0.6440953,0.5693421,0.40637792,0.45022584,0.51752375,0.50276501,0.57193338,0.63469281,0.6493091,0.70308117,0.58769289,0.355199,0.39096336,0.55882641,0.6110082,0.69257515,0.79444623,0.89688657,1.0514822,0.9391156,0.5557415,0.44731137,0.5646415,0.48760026,0.42100331,0.54976604,0.5054632,0.28184434,0.34683145,0.52637517,0.22788969,-1
0.59824137,1.0987288,1.6835287,2.4789134,2.8024127,2.438696,1.7176569,1.0093086,0.25735084,-0.22155853,-0.13558175,-0.1912687,-0.30697176,-0.16764052,-0.098005103,-0.056259596,-0.3234,-0.6301811,-0.56971894,-0.70940747,-0.75032305,-0.67332704,-0.98010141,-1.2071136,-1.1813802,-1.0263965,-1.2994876,-1.9288823,-1.9076361,-1.8688252,-1.9906124,-2.0116357,-2.4026522,-2.1440318,-1.6618146,-1.9393573,-1.8722725,-1.5546911,-1.3011939,-1.0164506,-0.97927654,-0.70625453,-0.30337161,-0.012646325,0.169673,0.091329657,0.25028041,0.38726526,0.25792917,0.42929196,0.51751195,0.40467528,0.51198192,0.57732858,0.52189259,0.55256222,0.60213932,0.54817524,0.41385248,0.37404084,0.51866444,0.55101816,0.41477723,0.48080068,0.59543525,0.56873712,0.72196906,0.84312816,0.6168265,0.60801778,0.77629989,0.61682123,0.59952044,0.68892604,0.5307274,0.54462062,0.65981978,0.56485534,0.47263422,0.45420433,0.40649302,0.31572594,0.15547546,0.15012374,0.35439193,0.37869259,0.39462999,0.5257822,0.279348,-0.069657784,0.027543961,0.15302475,0.042231911,0.13426885,0.29615038,0.06293182,-1
0.32800826,1.2102222,2.5976534,2.2107785,1.6216664,-0.23932105,-1.5987116,-0.60213646,-0.08660337,0.026581391,-0.30304941,-0.37246008,-0.27912982,-0.94947081,-0.9640863,-0.95486094,-1.2032956,-1.3401393,-1.3715076,-1.1738752,-1.4189553,-1.5592412,-1.3084412,-1.8123748,-1.699133,-1.5041931,-2.0016292,-1.8574369,-1.9543183,-1.7167091,-2.1675454,-1.6748811,-1.8145649,-1.5073572,-0.99970388,-1.0499143,-0.51484779,-0.29834696,0.12887592,0.37943089,0.47460243,0.60646546,1.0355295,0.9076036,1.0428804,0.91986476,1.1408321,0.85017406,0.78688814,1.0158116,0.78087507,0.80101238,0.65621393,0.6961819,0.67790021,0.90150874,0.65491565,0.81448478,0.85914247,0.68344701,0.64021189,0.79177879,0.56013986,0.63391226,0.77200739,0.41966977,0.63479984,0.53577461,0.32129593,0.48255678,0.57630614,0.28996466,0.68976896,0.85559866,0.75653094,0.86012922,0.72387774,0.4458859,0.52091469,0.59710275,0.0041582105,0.18873901,0.35839279,-0.16948401,0.31336029,0.12599111,-0.046115194,0.099801472,-0.05288849,0.11905553,0.061988986,-0.060122169,-0.030952939,0.001111159,0.22771811,0.23970956,1
1.668206,2.8481734,2.5169776,2.1727729,0.72046706,0.72537573,1.6386019,1.2929038,1.6095656,1.395034,0.1492802,-0.33322555,-0.45278197,-0.78508967,-0.82853298,-0.82657129,-0.97349672,-1.1701115,-1.1505492,-1.2575322,-1.4203531,-1.48459,-1.4657847,-1.3779393,-1.6042484,-1.7756386,-1.7615261,-2.0809162,-2.227107,-1.957896,-2.1089526,-1.89408,-1.8003226,-1.464235,-1.0480598,-0.89517518,-0.49069907,-0.017316799,0.20345441,0.27883112,0.67502424,0.65510886,0.68048762,0.71907747,0.72019,0.65602258,0.53604253,0.66836543,0.68619346,0.55904631,0.56085022,0.65964585,0.70940886,0.61547611,0.63125517,0.56741509,0.40070829,0.45704242,0.50830249,0.41179677,0.40052745,0.36189013,0.26791711,0.32174868,0.26268828,0.22581812,0.25668612,0.14650693,0.12344467,0.10569229,0.19601456,0.06434636,0.08059776,0.33326736,0.29294268,0.38261291,0.6815076,0.61509956,0.32699335,0.165494,0.09622552,0.018381314,-0.036049008,-0.022687817,-0.0061312772,-0.014322565,-0.15436469,-0.017805312,-0.0075062626,0.0053624637,-0.026597446,-0.048192086,-0.032347036,-0.21405366,0.05603087,0.14788919,1
