;NB;C45;SVML;SVMQ;BN;RandF;RotF;MLP;Euclidean_1NN;DTW_R1_1NN;DTW_Rn_1NN;DDTW_R1_1NN;DDTW_Rn_1NN;ERP_1NN;LCSS_1NN;MSM_1NN;TWE_1NN;WDDTW_1NN;WDTW_1NN;DD_DTW;DTD_C;DTW_F;ST;LS;FS;BoP;SAXVSM;BOSS;TSF;TSBF;LPS;ACF;PS;EE;COTE;CID_DTW
Adiac;0.5626598465473146;0.5421994884910486;0.4424552429667519;0.7621483375959079;0.5012787723785166;0.6368286445012787;0.7749360613810742;0.7365728900255755;0.611253197;0.603580563;0.608695652;0.585677749;0.670076726;0.608695652;0.250639386;0.626598465;0.6342711;0.675191816;0.606138107;0.7007672634271099;0.700767263;0.611253197;0.782608695652174;0.5217391304347826;0.59335;0.5882352941176471;0.45268542199488493;0.7647058823529411;0.731457800511509;0.7698209718670077;0.7698209718670077;0.6649616368286445;0.7519181585677749;0.6649616368286445;0.79028133;0.6240409207161125
ArrowHead;0.5428571428571428;0.6057142857142858;0.7314285714285714;0.7428571428571429;0.5714285714285714;0.7142857142857143;0.7371428571428571;0.7085714285714285;0.8;0.702857143;0.8;0.777142857;0.834285714;0.8;0.788571429;0.805714286;0.794285714;0.805714286;0.817142857;0.7885714285714286;0.72;0.76;0.7371428571428571;0.8457142857142858;0.594286;0.7371428571428571;0.7885714285714286;0.8342857142857143;0.7257142857142858;0.7542857142857143;0.7828571428571428;0.6457142857142857;0.4742857142857143;0.8114285714285714;0.811428571;0.8285714285714286
Beef;0.6666666666666666;0.5333333333333333;0.9;0.9333333333333333;0.6;0.7333333333333333;0.8666666666666667;0.6;0.666666667;0.633333333;0.666666667;0.666666667;0.7;0.666666667;0.766666667;0.466666667;0.6;0.7;0.7;0.6666666666666666;0.666666667;0.666666667;0.9;0.8666666666666667;0.566667;0.6;0.43333333333333335;0.8;0.7666666666666667;0.5666666666666667;0.6;0.7333333333333333;0.7333333333333333;0.6333333333333333;0.866666667;0.6333333333333333
BeetleFly;0.75;0.9;0.8;0.85;0.85;0.8;0.9;0.8;0.75;0.7;0.65;0.75;0.85;0.75;0.8;0.6;0.7;0.75;0.7;0.65;0.65;0.6;0.9;0.8;0.7;0.7;0.9;0.9;0.75;0.8;0.8;0.65;0.85;0.75;0.8;0.75
BirdChicken;0.55;0.8;0.65;0.8;0.6;0.75;0.85;0.6;0.55;0.75;0.7;0.85;0.9;0.75;0.8;0.85;0.85;0.85;0.75;0.85;0.8;0.85;0.8;0.8;0.75;0.75;1.0;0.95;0.8;0.9;1.0;0.85;0.95;0.8;0.9;0.75
Car;0.6;0.5666666666666667;0.85;0.8833333333333333;0.5666666666666667;0.6666666666666666;0.8;0.7666666666666667;0.733333333;0.733333333;0.766666667;0.733333333;0.783333333;0.766666667;0.833333333;0.9;0.916666667;0.783333333;0.783333333;0.8;0.783333333;0.85;0.9166666666666666;0.7666666666666667;0.75;0.7833333333333333;0.8666666666666667;0.8333333333333334;0.7666666666666667;0.7833333333333333;0.85;0.5833333333333334;0.7;0.8333333333333334;0.9;0.7666666666666667
CBF;0.8955555555555555;0.6733333333333333;0.8777777777777778;0.8755555555555555;0.8544444444444445;0.89;0.9288888888888889;0.8944444444444445;0.852222222;0.996666667;0.994444444;0.592222222;0.572222222;0.997777778;0.99;0.968888889;0.991111111;0.591111111;0.996666667;0.9966666666666667;0.98;0.991111111;0.9744444444444444;0.9911111111111112;0.94;0.9244444444444444;0.9566666666666667;0.9977777777777778;0.9944444444444445;0.9877777777777778;0.9988888888888889;0.5988888888888889;0.5555555555555556;0.9977777777777778;0.995555556;0.9988888888888889
ChlorineConcentration;0.3463541666666667;0.6875;0.584375;0.92421875;0.5989583333333334;0.7125;0.8473958333333333;0.8614583333333333;0.65;0.6484375;0.65;0.683072917;0.69765625;0.659895833;0.719791667;0.627604167;0.6484375;0.68984375;0.64921875;0.7080729166666667;0.713020833;0.63359375;0.6997395833333333;0.5924479166666666;0.546354;0.640625;0.6544270833333333;0.6609375;0.7197916666666667;0.6924479166666667;0.6075520833333333;0.6619791666666667;0.7223958333333333;0.65625;0.727083333;0.6486979166666667
CinCECGTorso;0.8463768115942029;0.5898550724637681;0.4688405797101449;0.6514492753623189;0.8311594202898551;0.7384057971014493;0.8057971014492754;0.46159420289855074;0.897101449;0.650724638;0.930434783;0.710869565;0.939130435;0.887681159;0.946376812;0.961594203;0.846376812;0.910144928;0.85942029;0.7246376811594203;0.852173913;0.715217391;0.9543478260869566;0.8695652173913043;0.85942;0.7137681159420289;0.7702898550724637;0.8869565217391304;0.9826086956521739;0.7123188405797102;0.736231884057971;0.7978260869565217;0.8702898550724638;0.9420289855072463;0.994927536;0.9456521739130435
Coffee;0.9285714285714286;0.9285714285714286;1.0;1.0;0.9642857142857143;1.0;1.0;0.9642857142857143;1.0;1.0;1.0;0.928571429;0.964285714;1.0;1.0;0.892857143;1.0;0.964285714;1.0;1.0;1.0;0.964285714;0.9642857142857143;1.0;0.928571;0.9285714285714286;0.9285714285714286;1.0;0.9642857142857143;1.0;1.0;1.0;1.0;1.0;1.0;1.0
Computers;0.58;0.568;0.492;0.54;0.664;0.608;0.7;0.496;0.576;0.7;0.624;0.668;0.676;0.54;0.644;0.576;0.632;0.608;0.7;0.716;0.716;0.544;0.736;0.584;0.5;0.668;0.62;0.756;0.72;0.756;0.68;0.6;0.66;0.708;0.74;0.62
